product_name,price,picture,calorie,protein,fat,carbohydrate,sugar,fiber,salt,url
ミニすき焼き朝食,510,/files/menu_img/sp_449s.jpg?id=2314,525,20.7,19.8,68.2,62.1,6.1,3.4,https://www.yayoiken.com/menu_list/view/13/449
エッグ&ウインナー朝食,520,/files/menu_img/sp_450s.jpg?id=2314,538,21.5,23.0,63.2,58.4,4.8,3.3,https://www.yayoiken.com/menu_list/view/13/450
しゃけの塩焼朝食,550,/files/menu_img/sp_451s.jpg?id=2314,378,26.2,8.2,59.7,54.9,4.8,3.2,https://www.yayoiken.com/menu_list/view/13/451
サバの塩焼朝食,550,/files/menu_img/sp_452s.jpg?id=2314,495,21.7,19.3,60.4,55.6,4.8,3.2,https://www.yayoiken.com/menu_list/view/13/452
タルタルソース,50,/files/menu_img/sp_78s.jpg?id=2314,177,2.0,17.2,2.7,2.5,0.2,0.6,https://www.yayoiken.com/menu_list/view/13/78
生たまご,70,/files/menu_img/sp_472s.jpg?id=2314,83,6.8,5.7,0.2,0.2,0.0,0.2,https://www.yayoiken.com/menu_list/view/13/472
とろろ,180,/files/menu_img/sp_480s.jpg?id=2314,55,1.4,0.0,13.3,11.5,1.8,0.8,https://www.yayoiken.com/menu_list/view/13/480
野菜サラダ,100,/files/menu_img/sp_473s.jpg?id=2314,67,1.2,5.2,4.7,3.3,1.4,0.5,https://www.yayoiken.com/menu_list/view/13/473
納豆,110,/files/menu_img/sp_474s.jpg?id=2314,90,7.4,4.5,5.4,2.4,3.0,0.5,https://www.yayoiken.com/menu_list/view/13/474
冷奴,110,/files/menu_img/sp_475s.jpg?id=2314,21,2.0,1.3,0.9,0.6,0.3,0.0,https://www.yayoiken.com/menu_list/view/13/475
【だし茶漬用】ほぐし鮭小鉢,160,/files/menu_img/sp_478s.jpg?id=2314,27,3.4,0.8,1.1,0.9,0.3,0.6,https://www.yayoiken.com/menu_list/view/13/478
【だし茶漬用】ミニサバ小鉢,160,/files/menu_img/sp_477s.jpg?id=2314,105,5.6,8.1,0.9,0.7,0.3,0.2,https://www.yayoiken.com/menu_list/view/13/477
蒸し鶏と海藻のぽん酢和え,130,/files/menu_img/sp_476s.jpg?id=2314,22,3.7,0.3,2.2,1.1,1.1,0.8,https://www.yayoiken.com/menu_list/view/13/476
玉子焼き,290,/files/menu_img/sp_485s.jpg?id=2314,274,13.5,21.5,6.6,6.6,0.0,1.8,https://www.yayoiken.com/menu_list/view/13/485
天ぷら小鉢,330,/files/menu_img/sp_487s.jpg?id=2314,180,4.9,10.4,17.3,15.7,1.6,1.4,https://www.yayoiken.com/menu_list/view/13/487
牛肉のすき焼き小鉢,330,/files/menu_img/sp_486s.jpg?id=2314,181,6.2,13.2,10.5,8.4,2.1,1.3,https://www.yayoiken.com/menu_list/view/13/486
フライドポテト,260,/files/menu_img/sp_481s.jpg?id=2314,305,4.3,16.1,39.2,33.1,6.1,0.7,https://www.yayoiken.com/menu_list/view/13/481
フライドポテト&ウインナー,290,/files/menu_img/sp_482s.jpg?id=2314,336,7.8,21.2,30.2,26.0,4.2,1.5,https://www.yayoiken.com/menu_list/view/13/482
コロッケ,170,/files/menu_img/sp_479s.jpg?id=2314,208,3.1,11.8,23.5,21.7,1.8,1.3,https://www.yayoiken.com/menu_list/view/13/479
イカのから揚げ,260,/files/menu_img/sp_484s.jpg?id=2314,274,10.7,20.3,12.6,11.1,1.5,1.5,https://www.yayoiken.com/menu_list/view/13/484
ミニから揚げ,280,/files/menu_img/sp_483s.jpg?id=2314,168,12.3,10.3,6.8,6.1,0.7,1.6,https://www.yayoiken.com/menu_list/view/13/483
から揚げ（5個）,590,/files/menu_img/sp_488s.jpg?id=2314,477,30.4,33.5,15.5,13.8,1.7,3.6,https://www.yayoiken.com/menu_list/view/13/488
みそ汁,100,/files/menu_img/sp_79s.jpg?id=2314,21,2.0,0.7,2.0,1.2,0.8,1.9,https://www.yayoiken.com/menu_list/view/13/79
豚汁,290,/files/menu_img/sp_87s.jpg?id=2314,84,7.8,2.6,8.2,6.3,1.9,2.8,https://www.yayoiken.com/menu_list/view/13/87
貝汁,290,/files/menu_img/sp_88s.jpg?id=2314,37,3.9,0.4,4.4,4.4,0.0,2.3,https://www.yayoiken.com/menu_list/view/13/88
生ビール,550,/files/menu_img/sp_252s.jpg?id=2314,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.yayoiken.com/menu_list/view/13/252
メガ生ビール,890,/files/menu_img/sp_256s.jpg?id=2314,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.yayoiken.com/menu_list/view/13/256
ハイボール,430,/files/menu_img/sp_369s.jpg?id=2314,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.yayoiken.com/menu_list/view/13/369
メガハイボール,620,/files/menu_img/sp_371s.jpg?id=2314,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.yayoiken.com/menu_list/view/13/371
レモンサワー,430,/files/menu_img/sp_373s.jpg?id=2314,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.yayoiken.com/menu_list/view/13/373
[テイクアウト]～徳島県産阿波尾鶏使用～地鶏まぶし　だし付,1020,/files/menu_img/sp_92s.jpg?id=2314,606,34.8,11.5,93.1,88.2,4.9,3.6,https://www.yayoiken.com/menu_list/view/13/92
［テイクアウト］肉野菜炒め,950,/files/menu_img/sp_389s.jpg?id=2314,525,24.2,17.2,71.7,64.7,7.0,4.9,https://www.yayoiken.com/menu_list/view/13/389
［テイクアウト］しょうが焼,860,/files/menu_img/sp_390s.jpg?id=2314,678,23.8,33.9,72.5,66.0,6.5,5.3,https://www.yayoiken.com/menu_list/view/13/390
［テイクアウト］から揚げ,890,/files/menu_img/sp_453s.jpg?id=2314,700,37.2,28.9,75.9,69.7,6.2,5.0,https://www.yayoiken.com/menu_list/view/13/453
［テイクアウト］特から揚げ,1080,/files/menu_img/sp_454s.jpg?id=2314,848,49.2,37.7,81.1,74.5,6.6,5.8,https://www.yayoiken.com/menu_list/view/13/454
［テイクアウト］から揚げ＆コロッケ,890,/files/menu_img/sp_455s.jpg?id=2314,804,28.0,37.9,91.9,85.2,6.7,5.5,https://www.yayoiken.com/menu_list/view/13/455
