product_name,price,picture,calorie,protein,fat,carbohydrate,sugar,fiber,salt,url
もちミニ®彩・豆腐ハンバーグ弁当,560,https://www.hottomotto.com/files/menu_img/sp_1124.jpg?id=5845,512kcal,12.6g,14.7g,86.3g,78.8g,7.5g,2.1g,https://www.hottomotto.com/menu_list/view/13/1124
オードブル,5500,https://www.hottomotto.com/files/menu_img/sp_1078.jpg?id=5845,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.hottomotto.com/menu_list/view/13/1078
フライドポテトBOX,500,https://www.hottomotto.com/files/menu_img/sp_1011.jpg?id=5845,633kcal,9.9g,29.2g,87.5g,79.3g,8.2g,1.9g,https://www.hottomotto.com/menu_list/view/13/1011
チキン南蛮バーガー,450,https://www.hottomotto.com/files/menu_img/sp_892.jpg?id=5845,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.hottomotto.com/menu_list/view/13/892
チキン南蛮弁当,670,https://www.hottomotto.com/files/menu_img/sp_1259.jpg?id=5845,885kcal,26.9g,34.4g,118.7g,111.8g,6.9g,3.4g,https://www.hottomotto.com/menu_list/view/13/1259
パリパリ春巻,140,https://www.hottomotto.com/files/menu_img/sp_1007.jpg?id=5845,172kcal,2.6g,11.8g,14.6g,13.3g,1.3g,0.6g,https://www.hottomotto.com/menu_list/view/13/1007
東京都のアレルギー・栄養成分・原産国情報,N/A,https://www.hottomotto.com/img/allergy/icon_allergy_wheat.png,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.hottomotto.com/menu_list/info/13#!/tab/eiyo
手羽から揚(しお味)10本入り,560,https://www.hottomotto.com/files/menu_img/sp_1185.jpg?id=5845,400kcal,26.4g,27.4g,11.8g,11.4g,0.4g,3.2g,https://www.hottomotto.com/menu_list/view/13/1185
7品目のミックスサラダ,190,https://www.hottomotto.com/files/menu_img/sp_1188.jpg?id=5845,84kcal,2.9g,4.9g,9.0g,6.1g,2.9g,0.7g,https://www.hottomotto.com/menu_list/view/13/1188
和風オニオンソースハンバーグ＆から揚　おかずのみ,850,https://www.hottomotto.com/files/menu_img/sp_1049.jpg?id=5845,533kcal,34.5g,27.0g,39.2g,35.9g,3.3g,5.4g,https://www.hottomotto.com/menu_list/view/13/1049
しじみのみそ汁,160,https://www.hottomotto.com/files/menu_img/sp_1194.jpg?id=5845,34kcal,2.4g,0.9g,3.9g,3.3g,0.6g,2.1g,https://www.hottomotto.com/menu_list/view/13/1194
スポーツ弁当　から揚＆デミメンチ,680,https://www.hottomotto.com/files/menu_img/sp_1204.jpg?id=5845,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.hottomotto.com/menu_list/view/13/1204
サラダ＆ビーフカットステーキコンボ,980,https://www.hottomotto.com/files/menu_img/sp_880.jpg?id=5845,603kcal,24.7g,15.1g,95.0g,88.2g,6.8g,4.2g,https://www.hottomotto.com/menu_list/view/13/880
親子丼,570,https://www.hottomotto.com/files/menu_img/sp_1147.jpg?id=5845,660kcal,30.1g,19.0g,95.1g,89.2g,5.9g,4.3g,https://www.hottomotto.com/menu_list/view/13/1147
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.hottomotto.com/menu_list/download_pamphlet/13/09kantouA_toukai_kansaiA.pdf?id=858
W特製ナポリタン弁当(麺2倍),700,https://www.hottomotto.com/files/menu_img/sp_1294.jpg?id=5845,982kcal,37.0g,26.1g,158.7g,144.8g,13.9g,4.7g,https://www.hottomotto.com/menu_list/view/13/1294
ロースかつとじ弁当,680,https://www.hottomotto.com/files/menu_img/sp_1276.jpg?id=5845,810kcal,34.3g,26.0g,113.0g,106.3g,6.7g,4.1g,https://www.hottomotto.com/menu_list/view/13/1276
8コ入りチキンBOX,750,https://www.hottomotto.com/files/menu_img/sp_1008.jpg?id=5845,596kcal,48.2g,35.2g,21.4g,19.8g,1.6g,4.2g,https://www.hottomotto.com/menu_list/view/13/1008
