store,category,name,kcal,price_jpy,meal_slot_hint,protein_g,fat_g,carb_g,fiber_g,url,image_url
松屋,丼,今治辛玉焼豚玉子飯（大盛）,1487.0,1580,,77.9,63.2,140.3,,https://www.matsuyafoods.co.jp/matsuya/menu/don/don_imabari_karatama_hp_250729.html,https://www.matsuyafoods.co.jp/menu/upload_images/don_chashu_egg_hot_hp_250729.jpg
松屋,丼,ジャークチキン,1121.0,890,,46.7,55.0,100.0,,https://www.matsuyafoods.co.jp/matsuya/menu/don/don_jerk_chicken_hp_250916.html,https://www.matsuyafoods.co.jp/menu/upload_images/tei_jerk_chicken_hp_2.jpg
松屋,丼,キムカル丼（小盛）,630.0,660,,21.2,27.8,70.9,,https://www.matsuyafoods.co.jp/matsuya/menu/don/don_kimukaru_hp_250422.html,https://www.matsuyafoods.co.jp/menu/upload_images/don_kimukaru_hp.jpg
松屋,丼,キムカル丼（並盛）,756.0,690,,23.2,28.0,98.8,,https://www.matsuyafoods.co.jp/matsuya/menu/don/don_kimukaru_hp_250422.html,https://www.matsuyafoods.co.jp/menu/upload_images/don_kimukaru_hp.jpg
松屋,丼,キムカル丼（大盛）,1098.0,910,,33.6,41.5,141.7,,https://www.matsuyafoods.co.jp/matsuya/menu/don/don_kimukaru_hp_250422.html,https://www.matsuyafoods.co.jp/menu/upload_images/don_kimukaru_hp.jpg
松屋,丼,キムカル丼（特盛）,1350.0,1090,,42.4,54.6,165.7,,https://www.matsuyafoods.co.jp/matsuya/menu/don/don_kimukaru_hp_250422.html,https://www.matsuyafoods.co.jp/menu/upload_images/don_kimukaru_hp.jpg
松屋,丼,大盛ごろごろチャーシュー丼（大盛）,1107.0,1190,,46.8,42.9,127.1,,https://www.matsuyafoods.co.jp/matsuya/menu/don/don_oomori_chashu_hp_250923.html,https://www.matsuyafoods.co.jp/menu/upload_images/don_chashu_oo_hp_250923.jpg
松屋,丼,スタミナ厚切り豚カルビ丼（小盛）,663.0,660,,19.6,31.7,66.6,,https://www.matsuyafoods.co.jp/matsuya/menu/don/don_stamina_atsubuta_hp_250422.html,https://www.matsuyafoods.co.jp/menu/upload_images/don_stamina_atsubuta_hp_1.jpg
松屋,丼,スタミナ厚切り豚カルビ丼（並盛）,784.0,690,,21.8,31.9,92.8,,https://www.matsuyafoods.co.jp/matsuya/menu/don/don_stamina_atsubuta_hp_250422.html,https://www.matsuyafoods.co.jp/menu/upload_images/don_stamina_atsubuta_hp_1.jpg
松屋,丼,スタミナ厚切り豚カルビ丼（大盛）,1151.0,910,,31.5,47.3,136.1,,https://www.matsuyafoods.co.jp/matsuya/menu/don/don_stamina_atsubuta_hp_250422.html,https://www.matsuyafoods.co.jp/menu/upload_images/don_stamina_atsubuta_hp_1.jpg
松屋,丼,鶏そぼろたまご丼（小盛）,430.0,430,,19.6,9.2,63.4,,https://www.matsuyafoods.co.jp/matsuya/menu/don/don_tori_tamado_hp_250812.html,https://www.matsuyafoods.co.jp/menu/upload_images/morning_torisoboro_hp_250722.jpg
松屋,丼,鶏そぼろたまご丼（並盛）,540.0,460,,21.2,9.4,87.5,,https://www.matsuyafoods.co.jp/matsuya/menu/don/don_tori_tamado_hp_250812.html,https://www.matsuyafoods.co.jp/menu/upload_images/morning_torisoboro_hp_250722.jpg
松屋,丼,鶏そぼろたまご丼（大盛）,862.0,680,,37.8,16.8,131.9,,https://www.matsuyafoods.co.jp/matsuya/menu/don/don_tori_tamado_hp_250812.html,https://www.matsuyafoods.co.jp/menu/upload_images/morning_torisoboro_hp_250722.jpg
松屋,丼,ネギゆず旨塩厚切り豚カルビ丼（小盛）,640.0,660,,18.9,32.4,60.7,,https://www.matsuyafoods.co.jp/matsuya/menu/don/don_yuzi_atsubuta_hp_250422.html,https://www.matsuyafoods.co.jp/menu/upload_images/don_yuzu_atsubuta_karubi_hp_250204.jpg
松屋,丼,ネギゆず旨塩厚切り豚カルビ丼（並盛）,762.0,690,,21.2,33.3,85.8,,https://www.matsuyafoods.co.jp/matsuya/menu/don/don_yuzi_atsubuta_hp_250422.html,https://www.matsuyafoods.co.jp/menu/upload_images/don_yuzu_atsubuta_karubi_hp_250204.jpg
松屋,丼,ネギゆず旨塩厚切り豚カルビ丼（大盛）,1119.0,910,,30.6,49.4,125.0,,https://www.matsuyafoods.co.jp/matsuya/menu/don/don_yuzi_atsubuta_hp_250422.html,https://www.matsuyafoods.co.jp/menu/upload_images/don_yuzu_atsubuta_karubi_hp_250204.jpg
松屋,丼,元祖旨辛焼き牛めし（小盛）,618.0,660,,24.1,27.8,64.5,,https://www.matsuyafoods.co.jp/matsuya/menu/don/senmon_don_yaki_umakara_hp_250722.html,https://www.matsuyafoods.co.jp/menu/upload_images/don_yakigyuumeshi_hp_1.jpg
松屋,丼,元祖旨辛焼き牛めし（並盛）,746.0,690,,26.3,28.0,92.6,,https://www.matsuyafoods.co.jp/matsuya/menu/don/senmon_don_yaki_umakara_hp_250722.html,https://www.matsuyafoods.co.jp/menu/upload_images/don_yakigyuumeshi_hp_1.jpg
松屋,丼,元祖旨辛焼き牛めし（大盛）,1010.0,910,,33.2,35.3,133.8,,https://www.matsuyafoods.co.jp/matsuya/menu/don/senmon_don_yaki_umakara_hp_250722.html,https://www.matsuyafoods.co.jp/menu/upload_images/don_yakigyuumeshi_hp_1.jpg
松屋,モーニング,ミニ牛皿＜選べる小鉢＞（ミニ）,160.0,,breakfast,5.3,14.3,2.6,,https://www.matsuyafoods.co.jp/matsuya/menu/morning/kobachi_gyuu_hp.html,https://www.matsuyafoods.co.jp/menu/upload_images/kobachi_gyuu_hp_200210.jpg
松屋,モーニング,“炙り”焼鮭朝定食,517.0,,breakfast,20.0,9.6,83.9,,https://www.matsuyafoods.co.jp/matsuya/menu/morning/morning_aburi_sake_hp_250422.html,https://www.matsuyafoods.co.jp/menu/upload_images/tei_yakishake_hp_1.jpg
