product_name,price,picture,calorie,protein,fat,carbohydrate,sugar,fiber,salt,url
直巻　焼しゃけ,158,https://www.family.co.jp/content/dam/family/goods/0411165.jpg,196.00,4.30,1.40,42.10,,,1.50,https://www.family.co.jp/goods/omusubi/0411165.html
直巻　とり五目,165,https://www.family.co.jp/content/dam/family/goods/0411172.jpg,204.00,4.80,1.20,44.10,,,1.70,https://www.family.co.jp/goods/omusubi/0411172.html
SPAM®むすび　玉子焼き・明太子マヨネーズ,369,https://www.family.co.jp/content/dam/family/goods/0411592.jpg,386.00,10.80,18.60,44.50,,,1.90,https://www.family.co.jp/goods/omusubi/0411592.html
SPAM®むすび　ツナマヨネーズ,266,https://www.family.co.jp/content/dam/family/goods/0411486.jpg,282.00,6.80,13.20,34.30,,,1.20,https://www.family.co.jp/goods/omusubi/0411486.html
塩おむすび,129,https://www.family.co.jp/content/dam/family/goods/0411301.jpg,186.00,2.60,1.10,41.70,,,1.00,https://www.family.co.jp/goods/omusubi/0411301.html
【山梨県・長野県】安曇野産わさび　わさびめし,156,https://www.family.co.jp/content/dam/family/goods/0410489.jpg,186.00,4.00,1.30,39.70,,,0.80,https://www.family.co.jp/goods/omusubi/0410489.html
鮭金ごまおむすび,139,https://www.family.co.jp/content/dam/family/goods/0411295.jpg,165.00,3.30,1.60,34.70,,,0.90,https://www.family.co.jp/goods/omusubi/0411295.html
だし醤油まぶし飯　海苔佃煮おむすび,156,https://www.family.co.jp/content/dam/family/goods/0411066.jpg,173.00,3.20,1.00,38.20,,,1.40,https://www.family.co.jp/goods/omusubi/0411066.html
【関東・東海・関西】もち麦　枝豆ゆかり®,163,https://www.family.co.jp/content/dam/family/goods/0411547.jpg,178.00,4.70,2.30,36.60,,,1.40,https://www.family.co.jp/goods/omusubi/0411547.html
おむすび2個セット（鮭・昆布）,313,https://www.family.co.jp/content/dam/family/goods/0414111.jpg,333.00,6.70,2.20,72.50,,,2.00,https://www.family.co.jp/goods/omusubi/0414111.html
【東北・関東】おむすびおかずセット（昆布・ツナマヨネーズ）,434,https://www.family.co.jp/content/dam/family/goods/0414005.jpg,526.00,13.70,14.60,86.30,,,1.80,https://www.family.co.jp/goods/omusubi/0414005.html
【東京都の一部・神奈川県の一部】スーパー大麦　梅ひじきおむすび,175,https://www.family.co.jp/content/dam/family/goods/0411585.jpg,166.00,3.00,1.60,36.00,,,1.40,https://www.family.co.jp/goods/omusubi/0411585.html
青磯海苔　まぐろたたき,199,https://www.family.co.jp/content/dam/family/goods/0410328.jpg,186.00,4.40,2.10,37.80,,,0.80,https://www.family.co.jp/goods/omusubi/0410328.html
まいたけおこわおむすび,185,https://www.family.co.jp/content/dam/family/goods/0411677.jpg,202.00,4.80,0.70,44.50,,,0.80,https://www.family.co.jp/goods/omusubi/0411677.html
三陸産わかめおむすび,139,https://www.family.co.jp/content/dam/family/goods/0411691.jpg,173.00,2.70,0.90,38.80,,,1.70,https://www.family.co.jp/goods/omusubi/0411691.html
ミニ助六寿司,323,https://www.family.co.jp/content/dam/family/goods/0515115.jpg,501.00,17.70,10.90,84.50,,,4.00,https://www.family.co.jp/goods/sushi/0515115.html
サンド寿司　サーモン（チーズソース）,332,https://www.family.co.jp/content/dam/family/goods/0510370.jpg,238.00,6.30,4.00,44.90,,,1.70,https://www.family.co.jp/goods/sushi/0510370.html
手巻寿司　ねぎとろ（青まぜ）,230,https://www.family.co.jp/content/dam/family/goods/0510103.jpg,165.00,4.30,2.20,32.40,,,1.30,https://www.family.co.jp/goods/sushi/0510103.html
手巻寿司　シーチキンマヨネーズ,167,https://www.family.co.jp/content/dam/family/goods/0510066.jpg,217.00,3.80,8.70,31.00,,,1.30,https://www.family.co.jp/goods/sushi/0510066.html
手巻寿司　納豆,184,https://www.family.co.jp/content/dam/family/goods/0510097.jpg,176.00,5.50,2.50,33.90,,,1.40,https://www.family.co.jp/goods/sushi/0510097.html
